continent,country,capital_city,life_score,happiness_level,income_level,live_cost, rent_price ,total_score
Africa,Mauritius,Port Louis,Good,Okay, 807 ," 2,340 ", 497 ,3.25
America,Mexico,Mexico City,Good,Good, 704 ," 1,868 "," 1,038 ",3.94
Europe,Moldova,Chisinau,Okay,Okay, 139 ," 2,062 ", 504 ,2.99
Europe,Monaco,Monaco,Okay,null," 14,000 "," 8,101 "," 6,436 ",2.44
Asia,Mongolia,Ulaanbaatar,Okay,Bad, 307 ," 2,158 ", 832 ,2.47
Europe,Montenegro,Podgorica,Okay,Okay, 580 ," 2,211 ", 434 ,2.69
Africa,Morocco,Rabat,Okay,Okay, 245 ," 2,170 ", 597 ,2.8
Africa,Mozambique,Maputo,Bad,Bad, 32 ," 2,193 ", 665 ,0.5
Asia,Myanmar,Naypyidaw,Bad,Bad, 104 ," 1,251 ", 408 ,0.5
Africa,Namibia,Windhoek,Okay,Bad, 368 ," 2,020 ", 665 ,2.82
Asia,Nepal,Kathmandu,Okay,Bad, 60 ," 1,231 ", 929 ,3.44
Europe,Netherlands,Amsterdam,Good,Great," 3,813 "," 8,956 "," 2,753 ",3.02
Oceania,New Caledonia,Noumea,Okay,null," 2,887 "," 5,500 "," 1,349 ",1.66
Oceania,New Zealand,Wellington,Great,Great," 3,353 "," 4,902 "," 1,800 ",2.95
America,Nicaragua,Managua,Okay,Okay, 179 ," 1,827 ", 484 ,2.59
Africa,Niger,Niamey,Bad,Bad, 30 ," 2,010 ", 577 ,2.61
Africa,Nigeria,Abuja,Bad,Bad, 181 ," 2,103 ", 771 ,2.71
Asia,Northern Cyprus,Nicosia,Okay,Okay," 1,969 "," 3,574 "," 1,070 ",2.63
Europe,United Kingdom Northern Ireland,Belfast,Good,Good," 3,354 "," 5,041 "," 1,315 ",2.15
Europe,Norway,Oslo,Good,Great," 5,885 "," 4,501 "," 1,573 ",2.88
Asia,Oman,Muscat,Okay,null," 1,190 "," 3,043 "," 1,275 ",2.4
Asia,Pakistan,Islamabad,Okay,Okay, 122 ," 1,477 ", 640 ,2.75
Asia,Palestine,Jerusalem,Okay,null, 233 ," 2,798 ", 478 ,2.65
America,Panama,Panama City,Good,Good," 1,140 "," 2,686 "," 1,749 ",2.87
Oceania,Papua New Guinea,Port Moresby,Bad,null, 203 ," 3,227 "," 1,237 ",2.19
America,Paraguay,Asuncion,Okay,Okay, 337 ," 1,534 ", 423 ,2.97
America,Peru,Lima,Okay,Okay, 504 ," 1,457 ", 890 ,3.24
Asia,Philippines,Manila,Okay,Okay, 246 ," 1,698 ", 942 ,3.37
Europe,Poland,Warsaw,Good,Okay," 1,028 "," 2,716 ", 713 ,3.45
Europe,Portugal,Lisbon,Good,Okay," 1,646 "," 3,799 "," 1,663 ",3.82
America,Puerto Rico,San Juan,Good,null," 2,386 "," 4,671 "," 1,330 ",2.83
Asia,Qatar,Doha,Good,Good," 4,944 "," 5,304 "," 2,188 ",2.39
Africa,Republic of the Congo,Brazzaville,Okay,null, 126 ," 2,305 "," 1,441 ",2.62
Europe,Romania,Bucharest,Good,Okay, 787 ," 1,965 ", 526 ,3.29
Asia,Russia,Moscow,Bad,Okay, 721 ," 2,442 ", 530 ,0.5
Africa,Rwanda,Kigali,Okay,Bad, 59 ," 1,890 ", 842 ,3.21
Africa,Saint Helena,Jamestown,Okay,null, 1 ," 6,585 "," 4,627 ",2.3
Oceania,Samoa,Apia,Okay,null, 351 ," 3,261 ", 783 ,2.68
Asia,Saudi Arabia,Riyadh,Okay,Good," 1,651 "," 3,605 ", 666 ,2.14
Africa,Senegal,Dakar,Okay,Bad, 79 ," 2,204 ", 590 ,2.76
Europe,Serbia,Belgrade,Good,Okay, 452 ," 2,335 ", 793 ,3.4
Africa,Seychelles,Victoria,Okay,null," 1,268 "," 5,208 "," 1,441 ",2
Africa,Sierra Leone,Freetown,Bad,Bad, 41 ," 2,032 ", 596 ,2.59
Asia,Singapore,Singapore,Good,Good," 4,401 "," 5,593 "," 2,371 ",3.07
America,Sint Maarten,Philipsburg,Okay,null," 2,363 "," 5,945 "," 1,478 ",2.1
Europe,Slovakia,Bratislava,Good,Good," 1,374 "," 2,487 ", 718 ,3.17
Europe,Slovenia,Ljubljana,Good,Okay," 1,793 "," 3,907 "," 1,263 ",3.22
Oceania,Solomon Islands,Honiara,Okay,null, 158 ," 3,764 "," 1,006 ",2.29
Africa,Somalia,Mogadishu,Bad,Okay, 42 ," 2,562 ", 771 ,0.5
Africa,South Africa,Pretoria,Okay,Bad, 425 ," 2,274 ", 723 ,2.96
Asia,South Korea,Seoul,Good,Okay," 2,315 "," 2,999 "," 1,366 ",3.29
Africa,South Sudan,Juba,Bad,Bad, 45 ," 2,322 ", 857 ,0.5
Europe,Spain,Madrid,Good,Good," 2,225 "," 4,844 ", 912 ,2.75
Asia,Sri Lanka,Sri Jayawardenapura Kotte,Okay,Bad, 326 ," 1,526 ", 714 ,3.14
Africa,Sudan,Khartoum,Bad,Bad, 175 , 702 , 374 ,0.5
America,Suriname,Paramaribo,Okay,null, 489 ," 1,694 ", 300 ,3.07
Europe,Sweden,Stockholm,Good,Great," 4,224 "," 4,012 "," 1,536 ",3.04
Europe,Switzerland,Bern,Good,Great," 6,654 "," 6,534 "," 2,120 ",2.54
Asia,Syria,Damascus,Bad,Bad, 100 ," 3,751 ", 805 ,0.5
Asia,Taiwan,Taipei,Good,Good," 2,048 "," 2,954 "," 1,057 ",3.09
Asia,Tajikistan,Dushanbe,Okay,Bad, 66 ," 1,060 ", 415 ,2.66
